Product,Category,Price,Discount,Promotion,Rating,Reviews,Source
,shirt,₹987,62% off,No promotion,5.0 out of 5 stars,3,Amazon
,shirt,₹379,81% off,No promotion,3.6 out of 5 stars,"1,007",Amazon
,shirt,₹399,80% off,No promotion,3.9 out of 5 stars,715,Amazon
,shirt,₹499,50% off,No promotion,,,Amazon
,shirt,₹840,60% off,No promotion,4.4 out of 5 stars,17,Amazon
,shirt,₹885,65% off,No promotion,4.0 out of 5 stars,20,Amazon
,shirt,₹411,79% off,No promotion,2.8 out of 5 stars,7,Amazon
,shirt,"₹1,619",35% off,No promotion,4.2 out of 5 stars,5,Amazon
,shirt,₹581,42% off,No promotion,3.4 out of 5 stars,112,Amazon
,shirt,₹549,61% off,No promotion,3.9 out of 5 stars,"6,969",Amazon
,shirt,"₹1,999",50% off,No promotion,3.8 out of 5 stars,293,Amazon
,shirt,"₹1,729",44% off,No promotion,4.2 out of 5 stars,15,Amazon
,shirt,₹599,67% off,No promotion,3.9 out of 5 stars,"1,061",Amazon
,shirt,"₹1,009",44% off,No promotion,4.6 out of 5 stars,30,Amazon
,shirt,₹469,69% off,No promotion,3.9 out of 5 stars,"1,046",Amazon
,shirt,₹949,Men's Classic Slim Fit Full Sleeve Oxford Shirt | 100% Cotton,No promotion,4.0 out of 5 stars,654,Amazon
,shirt,₹499,73% off,No promotion,3.8 out of 5 stars,363,Amazon
,shirt,₹449,85% off,No promotion,3.7 out of 5 stars,213,Amazon
,shirt,"₹1,172",49% off,No promotion,4.2 out of 5 stars,521,Amazon
,shirt,₹769,69% off,No promotion,3.5 out of 5 stars,620,Amazon
,shirt,₹499,50% off,No promotion,4.1 out of 5 stars,404,Amazon
,shirt,₹542,69% off,No promotion,3.7 out of 5 stars,359,Amazon
,shirt,₹627,76% off,No promotion,3.7 out of 5 stars,419,Amazon
,shirt,₹879,45% off,No promotion,4.1 out of 5 stars,180,Amazon
,shirt,₹336,15% off,No promotion,4.0 out of 5 stars,"1,823",Amazon
,shirt,₹499,67% off,No promotion,4.0 out of 5 stars,58,Amazon
,shirt,₹699,61% off,No promotion,4.0 out of 5 stars,"9,505",Amazon
,shirt,₹902,57% off,No promotion,4.4 out of 5 stars,17,Amazon
,shirt,"₹1,489",Men's 100% Cotton Slim Fit Shirt,No promotion,3.9 out of 5 stars,17,Amazon
,shirt,₹449,78% off,No promotion,3.1 out of 5 stars,46,Amazon
,shirt,"₹1,707.99",57% off,No promotion,3.9 out of 5 stars,103,Amazon
,shirt,₹499,75% off,No promotion,4.1 out of 5 stars,87,Amazon
,shirt,₹499,67% off,No promotion,4.0 out of 5 stars,89,Amazon
,shirt,₹849,61% off,No promotion,3.8 out of 5 stars,78,Amazon
,shirt,₹799,50% off,No promotion,3.9 out of 5 stars,39,Amazon
,shirt,₹460,65% off,No promotion,4.0 out of 5 stars,45,Amazon
,shirt,₹899,55% off,No promotion,4.0 out of 5 stars,851,Amazon
,shirt,"₹1,299",35% off,No promotion,3.9 out of 5 stars,419,Amazon
,shirt,₹429,86% off,No promotion,4.0 out of 5 stars,"1,541",Amazon
,shirt,₹802,51% off,No promotion,4.2 out of 5 stars,21,Amazon
,shirt,"₹1,039",48% off,No promotion,5.0 out of 5 stars,1,Amazon
,shirt,₹542,69% off,No promotion,3.6 out of 5 stars,315,Amazon
,shirt,₹399,75% off,No promotion,4.4 out of 5 stars,667,Amazon
,shirt,₹549,63% off,No promotion,3.8 out of 5 stars,"7,678",Amazon
,shirt,"₹1,049",54% off,No promotion,3.9 out of 5 stars,189,Amazon
,shirt,"₹1,619",Men's 100% Cotton Straight Fit Shirt,No promotion,4.4 out of 5 stars,12,Amazon
,shirt,₹878,51% off,No promotion,,,Amazon
,shirt,₹387,65% off,No promotion,3.6 out of 5 stars,778,Amazon
,shirt,₹499,67% off,No promotion,4.1 out of 5 stars,463,Amazon
,shirt,₹389,81% off,No promotion,4.0 out of 5 stars,343,Amazon
,shirt,₹454,74% off,No promotion,4.1 out of 5 stars,188,Amazon
,shirt,"₹1,039",48% off,No promotion,4.4 out of 5 stars,14,Amazon
,shirt,"₹1,369",Men's Slim Fit Checks 100% Cotton Casual Shirt,No promotion,3.7 out of 5 stars,14,Amazon
,shirt,₹809,55% off,No promotion,4.0 out of 5 stars,74,Amazon
,shirt,"₹1,559",Men's Slim Fit Premium Ceremonial 100% Cotton Print Shirt,No promotion,4.4 out of 5 stars,3,Amazon
,shirt,₹609,56% off,No promotion,4.0 out of 5 stars,"2,771",Amazon
,shirt,₹379,81% off,No promotion,3.6 out of 5 stars,"2,589",Amazon
,shirt,₹529,52% off,No promotion,3.7 out of 5 stars,322,Amazon
,shirt,₹449,78% off,No promotion,4.8 out of 5 stars,172,Amazon
,shirt,₹499,67% off,No promotion,3.8 out of 5 stars,"2,014",Amazon
,shirt,"₹1,674",33% off,No promotion,4.0 out of 5 stars,82,Amazon
,shirt,"₹1,700",37% off,No promotion,4.1 out of 5 stars,36,Amazon
,shirt,₹699,59% off,No promotion,3.9 out of 5 stars,93,Amazon
,shirt,₹399,80% off,No promotion,3.4 out of 5 stars,6,Amazon
,shirt,"₹1,399",65% off,No promotion,3.8 out of 5 stars,270,Amazon
,shirt,₹699,30% off,No promotion,,,Amazon
,shirt,₹666,75% off,No promotion,3.7 out of 5 stars,"2,511",Amazon
,shirt,"₹1,539",33% off,No promotion,3.8 out of 5 stars,93,Amazon
,shirt,"₹1,619",35% off,No promotion,5.0 out of 5 stars,1,Amazon
,shirt,"₹1,669",Men's 100% Cotton Slim Fit Shirt,No promotion,3.8 out of 5 stars,108,Amazon
,shirt,₹529,60% off,No promotion,,,Amazon
,shirt,₹503.10,61% off,No promotion,3.8 out of 5 stars,574,Amazon
,shirt,"₹1,199",44% off,No promotion,3.9 out of 5 stars,22,Amazon
,shirt,₹989,45% off,No promotion,4.0 out of 5 stars,70,Amazon
,shirt,"₹1,049",45% off,No promotion,3.9 out of 5 stars,634,Amazon
,shirt,₹503.10,71% off,No promotion,3.8 out of 5 stars,200,Amazon
,shirt,₹419,72% off,No promotion,3.7 out of 5 stars,123,Amazon
,shirt,₹499,67% off,No promotion,4.0 out of 5 stars,507,Amazon
,shirt,₹751,53% off,No promotion,4.0 out of 5 stars,310,Amazon
,shirt,"₹1,511.10",37% off,No promotion,3.6 out of 5 stars,59,Amazon
,shirt,"₹1,449",44% off,No promotion,4.5 out of 5 stars,33,Amazon
,shirt,₹503.10,71% off,No promotion,3.9 out of 5 stars,417,Amazon
,shirt,"₹1,049",45% off,No promotion,4.1 out of 5 stars,343,Amazon
,shirt,₹659,56% off,No promotion,3.9 out of 5 stars,965,Amazon
,shirt,"₹1,100.63",Men's Slim Fit Premium Business Formals 100% Cotton Print Shirt,No promotion,4.0 out of 5 stars,15,Amazon
,shirt,"₹1,049",Men's 100% Cotton Slim Fit Checkered Solid Shirt,No promotion,4.0 out of 5 stars,943,Amazon
,shirt,₹499,67% off,No promotion,4.1 out of 5 stars,91,Amazon
,shirt,₹404,80% off,No promotion,3.1 out of 5 stars,46,Amazon
,shirt,"₹1,898",53% off,No promotion,3.8 out of 5 stars,293,Amazon
